dataset,nodes,k,seed_id,algorithm,seed_median_s,seed_iqr_s,n_repeats
digits_n250,250,10,1,johnson,0.0178235025,0.00033027000000000056,6
digits_n250,250,10,2,dijkstra,0.014056613499999999,0.0006578864999999996,6
digits_n250,250,10,2,floyd_warshall,0.0203239155,0.0013901577500000026,6
digits_n250,250,10,2,johnson,0.017904696499999997,0.0005474725,6
digits_n250,250,10,3,dijkstra,0.014081133499999999,0.00012759550000000092,6
digits_n250,250,10,3,floyd_warshall,0.019524346999999997,0.0010738402500000029,6
digits_n250,250,10,3,johnson,0.017836025999999998,0.0010045972500000028,6
digits_n250,250,10,4,dijkstra,0.01416134,0.00031271700000000055,6
digits_n250,250,10,4,floyd_warshall,0.020053309999999998,0.0008250404999999988,6
digits_n250,250,10,4,johnson,0.018251206,0.000648379999999997,6
digits_n250,250,20,0,dijkstra,0.020812566499999997,0.0005997699999999995,6
digits_n250,250,20,0,floyd_warshall,0.0245438455,0.0010460992500000016,6
digits_n250,250,20,0,johnson,0.0273179785,0.0007912222499999975,6
digits_n250,250,20,1,dijkstra,0.0211024405,0.001145912750000002,6
digits_n250,250,20,1,floyd_warshall,0.021828246500000002,0.0005641747500000002,6
digits_n250,250,20,1,johnson,0.024859412,0.0010589779999999986,6
digits_n250,250,20,2,dijkstra,0.020444255,0.0008282089999999999,6
digits_n250,250,20,2,floyd_warshall,0.0238154305,0.0024039877499999994,6
digits_n250,250,20,2,johnson,0.0276537705,0.0017279659999999974,6
digits_n250,250,20,3,dijkstra,0.0209684905,0.0008006485000000008,6
digits_n250,250,20,3,floyd_warshall,0.023315173,0.0007357520000000027,6
digits_n250,250,20,3,johnson,0.027417637,0.00052035525,6
digits_n250,250,20,4,dijkstra,0.020350852000000003,0.0013702822500000003,6
digits_n250,250,20,4,floyd_warshall,0.023209360999999998,0.0014470002500000002,6
digits_n250,250,20,4,johnson,0.0271267075,0.0005246117500000043,6
digits_n300,300,5,0,dijkstra,0.015153271,0.0004511037500000009,6
digits_n300,300,5,0,floyd_warshall,0.02434565,0.0007195002500000013,6
digits_n300,300,5,0,johnson,0.018866321,0.0012572802500000028,6
digits_n300,300,5,1,dijkstra,0.015530299000000001,0.000907120249999999,6
digits_n300,300,5,1,floyd_warshall,0.025991965,0.0006125975000000027,6
digits_n300,300,5,1,johnson,0.018520802500000003,0.0011597080000000023,6
digits_n300,300,5,2,dijkstra,0.014303836,0.0007395740000000015,6
digits_n300,300,5,2,floyd_warshall,0.023212247,0.0005463580000000003,6
digits_n300,300,5,2,johnson,0.017559415000000002,0.0006354452500000017,6
digits_n300,300,5,3,dijkstra,0.0152106415,0.0009248449999999988,6
digits_n300,300,5,3,floyd_warshall,0.0219812605,0.0015527919999999973,6
digits_n300,300,5,3,johnson,0.0179113235,0.0005481849999999996,6
digits_n300,300,5,4,dijkstra,0.015130880499999999,0.0005889669999999993,6
digits_n300,300,5,4,floyd_warshall,0.0233100885,0.000651158750000002,6
digits_n300,300,5,4,johnson,0.018604363,0.0003857949999999978,6
digits_n300,300,10,0,dijkstra,0.0209364355,0.0004895725000000004,6
digits_n300,300,10,0,floyd_warshall,0.032873118,0.000254049499999999,6
digits_n300,300,10,0,johnson,0.025724724499999997,0.0009151117500000028,6
digits_n300,300,10,1,dijkstra,0.0204282685,0.0003876805000000011,6
digits_n300,300,10,1,floyd_warshall,0.033808526,0.0019397965000000003,6
digits_n300,300,10,1,johnson,0.026199667500000003,0.0009097297499999976,6
digits_n300,300,10,2,dijkstra,0.020083306000000002,0.0005660092500000026,6
digits_n300,300,10,2,floyd_warshall,0.029748795,0.0010441394999999992,6
digits_n300,300,10,2,johnson,0.0232481605,0.0019517400000000004,6
digits_n300,300,10,3,dijkstra,0.020734458,0.0005633752499999978,6
digits_n300,300,10,3,floyd_warshall,0.029905682500000003,0.0005260569999999999,6
digits_n300,300,10,3,johnson,0.023625193500000002,0.00047223900000000277,6
digits_n300,300,10,4,dijkstra,0.0197008615,0.00029817424999999814,6
digits_n300,300,10,4,floyd_warshall,0.030164025499999997,0.0003959289999999997,6
digits_n300,300,10,4,johnson,0.02514847,0.00045380999999999894,6
digits_n300,300,20,0,dijkstra,0.031125243,0.003773995750000002,6
digits_n300,300,20,0,floyd_warshall,0.0394862525,0.004663637750000005,6
digits_n300,300,20,0,johnson,0.039704959,0.002220205000000003,6
digits_n300,300,20,1,dijkstra,0.029751908,0.0005333652499999973,6
digits_n300,300,20,1,floyd_warshall,0.0391845265,0.0009938692499999943,6
digits_n300,300,20,1,johnson,0.0402960485,0.0014642557500000042,6
